Latitude,Longitude,Stop Name,Stop Status
40.616132,-74.011768,at stop,13 AV/82 ST
40.633555,-74.021202,at stop,BAY RIDGE AV/5 AV
40.587718,-73.984222,at stop,HARWAY AV/BAY 50 ST
40.592945,-73.992375,at stop,25 AV/HARWAY AV
40.635702,-74.025898,approaching,BAY RIDGE AV/3 AV
40.614527,-74.013439,approaching,13 AV/84 ST
